extensive, general
defeated, frustrated
universal, complete
complete, universal
comprehensive, general
snug, close
close, snug
frozen, frigid
general, extensive
comprehensive, universal
complete, general
frozen, icy
general, comprehensive
icy, cool
icy, frozen
icy, frigid
general, complete
universal, comprehensive
frustrated, defeated
