proper, best
proud, prouder
least, little
modest, milder
modest, smaller
broader, broadest
broad, broader
early, earliest
quicker, fastest
higher, highest
wise, wiser
larger, highest
larger, biggest
lower, smallest
lesser, smallest
bigger, biggest
noble, nobler
harder, hardest
weird, weirder
happy, happiest
sound, sounder
lesser, lowest
lowest, slower
warm, warmest
greatest, older
larger, broadest
