warm, wise
grim, latter
greatest, grim
little, richest
fair, safest
healthier, nice
greater, later
lucky, rare
old, tough
fat, milder
grim, younger
deepest, milder
much, subtler
nice, weirder
lowest, weird
darker, modest
fairest, greatest
pretty, stranger
proper, wide
brighter, many
heavy, tall
less, truer
grave, quiet
healthier, subtler
dark, few
low, strong
cute, fast
drier, healthy
milder, small
subtle, well
heavier, large
longer, rarer
harder, smarter
happiest, weak
broadest, fat
deep, hardest
greener, stronger
stronger, sure
hard, large
dead, few
darker, subtler
cold, dry
earlier, little
kosher, lovelier
broad, grim
narrower, tough
deader, safest
colder, luckier
free, light
narrow, smarter
fairest, good
happiest, more
pure, weirder
smart, strictest
quickest, smallest
fastest, strong
hard, largest
best, darker
newer, weakest
best, proper
lesser, smart
low, surer
heavier, upper
fairer, stricter
later, luckier
lowest, noble
late, old
proud, short
fair, later
rarest, stricter
broadest, grave
richest, smart
green, heavier
hard, richest
larger, lesser
hotter, proud
cruel, pure
prettier, weird
richest, richest
safest, weakest
better, firmer
least, simple
broad, some
faster, short
quieter, simple
green, poorest
brighter, younger
freest, strange
largest, latest
kosher, smart
warmest, weird
bright, happiest
dry, fair
closest, taller
colder, faster
darker, safe
cruel, slow
cheaper, new
dry, small
honest, honest
healthy, healthy
surer, younger
grave, happier
early, hard
green, green
dark, heavier
warmest, weakest
proud, well
bad, luckier
later, poorest
lucky, newest
freer, rarer
higher, narrower
cold, cooler
close, shortest
farther, surer
bad, quicker
little, proper
fast, simplest
denser, pretty
finest, safest
happier, tall
deeper, rarer
clear, ever
smaller, weak
luckier, wider
hard, safest
early, firmer
bad, hardest
big, hardest
easier, poorer
easy, healthier
interest, less
biggest, pretty
faster, safest
colder, darkest
lighter, simplest
simpler, some
great, quiet
heavier, most
deep, green
rich, thin
broad, firm
cute, narrow
easy, strange
happier, sure
few, kosher
easiest, newest
earliest, strongest
firm, most
darkest, dense
big, most
easiest, kosher
sound, upper
fair, tough
cooler, thinner
healthy, younger
newest, richer
greatest, warmest
later, strong
biggest, fastest
greatest, lowest
drier, upper
hotter, thinner
ever, fatter
lucky, wide
bad, quiet
slower, smallest
easier, healthier
finest, worst
weaker, wide
fair, lowest
clearest, firm
fastest, hotter
great, lovelier
deep, least
busier, well
cheaper, denser
happy, harder
deeper, loud
luckier, noble
farther, longest
deep, louder
smallest, tougher
hard, short
early, interest
greatest, rare
earliest, hard
cruellest, highest
much, wiser
fastest, harder
large, warm
fairest, true
greener, weakest
another, tough
clearest, worst
deader, worst
happy, lower
rarer, subtle
firmer, stronger
deepest, deepest
least, smallest
firm, some
deader, noble
newer, strong
noble, strictest
interest, luckier
closer, larger
quick, widest
broader, luckier
biggest, surer
taller, younger
deeper, simple
less, poorer
easiest, simple
good, warmer
largest, simplest
newer, strange
simplest, upper
quickest, thin
fast, widest
weird, wiser
cruellest, more
better, denser
hot, truer
lovely, newest
broadest, greener
fairest, stricter
lesser, some
lovely, poor
greener, smart
free, large
happier, healthy
earliest, nicer
cruel, widest
cuter, rich
healthy, rarest
stricter, warmer
broadest, less
deepest, sounder
green, strongest
worse, worse
deader, lowest
richer, subtle
fairer, free
simpler, smart
hard, much
grimmer, some
quicker, small
slow, weaker
big, largest
fairest, great
firm, grave
biggest, rarest
hardest, stronger
cool, poorest
best, purer
cuter, most
strongest, worse
healthier, slower
lighter, strange
safer, simple
bigger, shorter
small, wide
fast, warmer
biggest, cool
cool, old
cute, luckier
freer, lesser
broader, grim
free, lighter
dead, earlier
free, worse
older, stupid
less, wider
grimmer, pretty
many, proud
late, wider
highest, true
better, rare
surer, wiser
fairer, well
closer, late
sounder, stupider
best, faster
harder, shorter
grave, slower
cheaper, free
quicker, younger
happier, simple
big, grave
finest, hotter
tough, weirder
greener, weirder
narrow, prettier
cuter, highest
easy, rare
greater, lovely
heavier, simple
fastest, strange
deader, later
another, high
darker, rare
rare, warmer
broad, stronger
nicer, tough
cruel, freer
highest, least
earliest, farther
luckier, subtler
nice, smart
later, nice
broadest, older
deepest, latter
milder, warmest
largest, lovely
hot, larger
dead, easy
hardest, quiet
bigger, many
fastest, nice
quiet, strange
least, light
greatest, green
close, simpler
deader, warmer
slower, sure
closer, wise
cute, sure
nice, strange
honest, wide
shortest, slower
lucky, proud
closest, warm
clearest, loud
earlier, wise
clearer, young
higher, old
weird, weirder
larger, proper
dense, firm
biggest, widest
prouder, stricter
fairest, sound
cuter, smaller
busier, early
another, stupider
colder, highest
good, interest
earliest, narrower
cooler, more
sound, strict
sound, weakest
good, stronger
cute, tall
bigger, quicker
richer, weird
hardest, luckier
least, quick
closer, smarter
fatter, smallest
busy, taller
darkest, strongest
least, poor
bright, simpler
lesser, stranger
modest, wider
newer, tough
least, many
greener, less
nicer, poorest
later, wide
happy, weirder
bad, subtle
many, taller
good, healthy
quick, thinner
fairest, largest
firmer, pretty
broad, noble
close, nicer
deepest, healthy
colder, more
lighter, proud
lovelier, old
long, wise
darkest, hard
broadest, hard
old, prouder
deeper, milder
drier, finest
brighter, stupider
gravest, rare
narrow, newest
better, safer
healthier, lowest
darkest, more
free, younger
older, richest
quicker, truer
fat, simplest
little, smallest
cute, richer
lighter, smarter
cheaper, strongest
fatter, wise
least, smarter
hardest, warmest
later, lesser
longer, wise
happiest, heavier
clearest, freest
new, weak
cool, farther
smarter, stronger
drier, largest
deeper, smallest
grim, lighter
darker, great
good, highest
good, nobler
another, bad
quickest, rarer
clearest, newest
grave, well
fastest, stricter
better, busy
farther, great
earliest, quickest
cheaper, latter
cooler, safest
nobler, richest
firm, short
darker, larger
cuter, happier
noble, wise
safest, strong
latter, newer
greener, tall
denser, strictest
big, least
quicker, sound
farther, larger
another, sounder
darker, finest
newer, upper
latter, lower
bad, close
heavy, hotter
freest, large
far, later
strictest, wise
older, quick
modest, stricter
tall, upper
dark, older
freest, shorter
largest, most
widest, younger
lowest, more
easier, wise
deep, largest
cheap, greatest
proud, rarest
nicer, smart
bad, better
easiest, surer
proper, sound
greatest, strongest
broader, farther
deeper, large
green, longest
easy, few
broader, hotter
closest, rarer
milder, weirder
fewer, higher
lesser, nicer
dark, poorest
tougher, warm
best, greater
fair, well
quickest, rarest
brighter, strongest
fast, greater
healthier, tougher
clearer, luckier
kosher, weird
greater, noble
modest, poorest
sound, wide
rich, tall
strict, warm
least, longer
deader, sounder
darker, warm
fairest, latter
fair, great
another, cruellest
broader, sounder
earliest, strictest
lovelier, nicer
broader, grave
quieter, truer
purer, youngest
latest, weird
busier, fairest
lowest, stranger
larger, strong
healthier, rich
broader, purer
grave, weird
latest, subtler
good, quicker
faster, shorter
freest, subtler
earlier, sound
easiest, little
large, tougher
subtler, wider
modest, well
thinner, wiser
quick, youngest
broad, pretty
earlier, rarer
longest, tough
latter, new
healthy, pure
cool, newer
clear, greener
greatest, stupid
busy, surer
firmer, quick
simplest, weird
happiest, warmer
fastest, upper
nice, noble
earlier, older
few, strange
big, prettier
great, rarest
