newest, poor
lucky, smaller
busier, lower
high, sure
highest, strange
quicker, simple
newer, tougher
highest, younger
cold, louder
darker, wise
higher, stupid
high, wiser
broadest, strongest
kosher, least
larger, youngest
cheap, firmer
deeper, more
green, prouder
easiest, freer
heavier, latter
clear, fastest
louder, thinner
fairer, finest
colder, deader
busy, safer
cruellest, deep
cruel, highest
closer, darkest
cruel, safest
clearer, noble
noble, young
highest, interest
brighter, smallest
fatter, tall
lesser, quieter
earlier, wiser
less, thin
farther, prettier
richer, wider
hotter, safer
simpler, young
louder, smaller
cooler, newer
cruellest, worse
loud, wiser
safer, slow
denser, lower
cruel, weird
best, loud
kosher, poorer
shortest, strongest
easy, richest
rich, rich
healthier, old
pretty, tough
rarer, strong
dead, great
heavy, low
darkest, lower
darkest, shorter
cooler, smart
nobler, thinner
deep, greatest
noble, purer
hard, late
largest, stupider
gravest, stupider
cool, less
large, subtler
deep, fatter
colder, hot
fairer, new
greener, subtle
cold, wiser
pretty, stricter
greater, younger
big, lucky
fast, kosher
fastest, fatter
fairer, freer
greatest, weirder
new, richer
cold, lowest
larger, sure
healthy, warmer
lesser, lucky
dead, safe
fatter, richer
cheaper, rarest
broadest, slower
fairer, quiet
greatest, hard
free, quicker
stricter, tough
broadest, lower
luckier, quicker
cheaper, greatest
louder, new
quick, quiet
dark, long
bad, wide
thinner, younger
poor, safer
bigger, longest
heavy, louder
well, widest
fatter, proud
cold, rare
narrow, strong
broader, cheaper
dark, great
far, narrow
earlier, tall
less, simplest
early, sure
brighter, noble
bright, cruellest
grim, large
better, widest
far, slow
hotter, strict
fairest, proud
firmer, poorest
new, newest
largest, older
drier, narrower
hardest, well
freest, hotter
safer, smart
hotter, interest
bad, hot
cruel, upper
deeper, longer
lighter, well
fat, proper
close, some
honest, smarter
earlier, quicker
busy, grimmer
better, warm
good, long
grimmer, light
grim, happy
better, cuter
busier, narrow
easier, weirder
lucky, weaker
dead, tougher
least, nicer
drier, youngest
happy, smaller
heavy, subtler
quickest, stupider
cute, weaker
weak, weak
poorest, quicker
broad, lesser
cruel, stupider
drier, greater
deader, rare
sure, sure
purer, shorter
busy, green
some, thinner
few, lowest
fast, weak
deeper, firmer
wiser, young
finest, surer
loud, old
richest, young
modest, quieter
noble, stranger
dark, much
finest, least
loud, loud
weird, worse
deeper, quieter
pure, quieter
closest, dry
cheaper, fair
lower, newer
safer, widest
firm, taller
noble, quicker
early, faster
some, sound
drier, easiest
wiser, worst
fair, tall
easier, great
bright, light
biggest, busier
biggest, broad
hot, newer
free, smallest
more, safer
little, newer
biggest, lucky
deader, simpler
closer, longest
faster, strongest
luckier, much
safer, simpler
less, lovely
free, subtle
cheaper, firm
cool, honest
fair, lucky
quickest, richest
deepest, greatest
grave, quicker
denser, grim
cool, grimmer
darkest, old
fair, fastest
healthy, youngest
hardest, richest
proper, tougher
easiest, worst
firm, wider
lovelier, short
hotter, lesser
fewer, narrow
bright, cuter
gravest, hot
closer, younger
nice, stricter
most, sure
cruellest, simplest
big, wide
best, long
deeper, stupider
surer, worse
loud, shortest
rare, shorter
lucky, true
earlier, purer
smallest, weak
cruellest, strong
another, heavy
hotter, nicer
fewer, new
darker, faster
long, wider
larger, wider
longest, narrower
dense, stupider
safe, smallest
good, small
greatest, large
busy, sound
green, rarest
closer, rarest
rich, widest
biggest, easiest
largest, stupid
broader, taller
proper, youngest
biggest, faster
light, warmest
latest, rich
bad, later
larger, stricter
busy, darkest
brighter, luckier
noble, prouder
bright, lesser
cold, far
longer, true
far, weird
freest, poorest
heavy, quiet
lowest, proud
quiet, stupider
grave, rich
loud, nicer
another, thin
better, rarer
greatest, latter
lighter, upper
busy, dead
heavy, much
cold, higher
firm, poorest
richest, simple
good, happiest
smaller, surer
latter, newest
bright, deep
proper, wiser
stupid, wide
lowest, worst
clear, strongest
large, strong
bad, smallest
gravest, longer
hard, hotter
strictest, warmest
cold, quicker
honest, poorest
earliest, milder
cruellest, prettier
best, brighter
closest, pretty
dark, deep
rarer, tall
clearer, pure
cute, quiet
proud, weirder
prouder, stupider
fair, modest
rarest, rarest
freest, highest
stupid, youngest
quicker, wiser
cooler, freest
pretty, strange
high, pretty
brighter, rarer
darkest, young
deepest, firm
healthy, wide
heavy, wider
older, smallest
easier, well
cold, larger
cute, freer
late, young
greater, short
ever, truer
longest, weakest
longest, prouder
poorer, pretty
dense, dense
fast, nicer
healthy, luckier
high, prouder
honest, lovely
greatest, simple
dead, heavy
grimmer, strict
green, simplest
new, strong
hard, thin
lowest, safest
poorest, warmest
lovely, purer
bright, harder
another, faster
simplest, weak
clearer, true
some, wise
cooler, grim
cool, fastest
deader, younger
rarer, warm
deader, subtle
biggest, well
easy, simpler
purer, wide
latter, truer
richer, thinner
much, pure
big, biggest
quickest, simple
lighter, many
firmer, weirder
fatter, many
largest, warm
easy, prouder
bright, new
latest, many
cold, pretty
happiest, lovelier
another, lesser
fewer, weird
richer, stupid
freest, pretty
grave, latest
earlier, fast
green, grimmer
ever, weirder
pure, youngest
fair, wiser
warmer, widest
heavy, quicker
ever, old
rarest, younger
slow, warm
longer, pure
subtle, subtler
firm, warmer
safe, slow
green, lowest
firm, strict
deepest, most
gravest, short
luckier, wide
heavier, safer
fat, wise
rare, wide
clearer, lowest
fewer, youngest
deepest, dry
clearer, fewer
deepest, noble
fair, farther
dark, little
busier, weirder
new, poor
healthy, modest
darkest, safest
grimmer, weakest
loud, warmest
dark, poorer
better, late
better, worse
poor, stricter
freer, rich
stronger, tall
clear, weak
more, some
deep, fewer
darker, low
sound, taller
quickest, younger
deepest, subtler
quieter, wider
few, youngest
nobler, smallest
cheap, earlier
heavier, smallest
faster, subtle
narrow, strict
dense, finest
another, nicer
fastest, older
honest, largest
dead, much
dry, free
more, shorter
richest, strongest
green, widest
widest, wise
easy, quiet
longest, rich
low, upper
ever, interest
late, weird
smarter, tough
heavy, strictest
firmer, louder
pretty, warmest
happiest, healthier
fair, simple
bright, deader
easier, purer
closest, younger
early, thin
fatter, nice
closest, highest
happier, wide
denser, few
sound, wider
harder, nicer
fewer, green
dead, large
heavier, milder
newest, slower
big, colder
clearer, early
better, hardest
happy, upper
farther, heavier
hard, interest
dry, safe
more, worst
cool, truer
firm, milder
poorer, richer
broadest, fewer
light, lower
big, kosher
dense, prouder
early, strange
clearest, deeper
close, easiest
luckier, rich
dry, wider
firmer, wise
fewer, interest
interest, least
modest, youngest
late, poor
clearest, surer
grave, worse
quick, well
good, youngest
high, smallest
heavier, lighter
grim, heavier
shorter, sounder
cool, grim
weakest, worse
many, safe
great, harder
noble, stupider
good, thinner
stronger, weird
another, fat
late, rich
rare, some
prouder, simplest
sounder, stranger
fair, healthier
farther, new
bad, interest
bigger, low
broader, narrow
lower, proud
few, greener
lighter, safest
cute, prouder
happy, subtler
lowest, poorer
grim, quickest
better, lovelier
light, strange
earliest, sound
dry, lighter
small, strong
honest, poor
deeper, surer
great, tough
easier, kosher
truer, wide
purer, rich
deader, some
better, easier
easy, tough
darker, greener
stranger, worse
clearest, healthy
narrower, some
clearer, greater
grimmer, milder
happy, quiet
cuter, quiet
green, much
cuter, dry
another, greatest
fastest, latest
much, slower
fair, kosher
colder, shortest
fairer, fat
cheap, high
later, new
easy, lowest
heavier, newer
better, cool
luckier, strict
clear, small
fairest, quicker
closest, earliest
big, smallest
earliest, ever
smaller, younger
most, much
honest, stupider
poor, proper
darker, lovely
prouder, well
cheaper, stronger
dead, true
large, larger
green, heavy
few, pure
gravest, stronger
dry, safest
luckier, safe
fastest, richest
lovelier, luckier
safe, sounder
stricter, wiser
biggest, new
faster, widest
clear, long
cruellest, denser
broad, tough
biggest, darkest
stupid, surer
strange, weak
much, sound
grimmer, strange
short, tough
bigger, subtler
dense, largest
proud, wider
narrower, simple
big, richer
healthier, healthier
smarter, surer
happiest, rich
bad, most
lovelier, sound
earlier, newest
early, luckier
cheaper, heavier
most, purer
stronger, worse
deep, most
fewer, worse
ever, fewer
broadest, colder
fatter, largest
simplest, stranger
cruellest, lesser
many, stricter
faster, small
fairest, upper
bright, weirder
fast, fat
lovelier, rarest
broader, high
bright, subtler
greener, quick
big, heavier
older, poorer
fairer, healthy
clearest, shorter
strongest, weakest
dense, younger
dry, short
happy, simpler
better, longer
finest, freest
heavier, late
nice, pretty
earlier, stronger
fastest, free
bright, earliest
firm, strange
milder, slower
healthier, stranger
smallest, tough
broad, proud
grim, proper
faster, narrow
darkest, nice
newest, truer
few, firm
lowest, richer
modest, slower
deader, latest
deader, youngest
greatest, lovelier
larger, weirder
greater, subtle
finest, strongest
fewer, poorer
proper, proud
newer, nice
clearest, true
strong, widest
easier, happier
deader, denser
deader, weak
cheap, later
proud, widest
harder, heavy
pure, strict
narrow, quickest
bright, large
fairest, finest
easier, greater
hardest, sounder
luckier, narrow
quicker, strongest
broader, dense
easiest, some
earlier, worst
less, true
few, sound
greatest, many
light, proper
biggest, farther
latest, stronger
far, quieter
highest, quick
deader, tougher
brighter, small
far, far
highest, little
fat, grimmer
darker, dead
lovelier, newer
quick, stricter
cool, new
earliest, healthy
late, strict
darker, rarest
bad, busy
biggest, hot
lowest, wider
older, tougher
warmer, weirder
clearest, drier
true, weird
loud, some
closer, lower
rarest, youngest
broad, poorer
longest, rarest
fatter, stronger
hot, less
farther, rarest
warmest, weaker
firm, upper
clearest, older
rarest, simpler
fast, poorer
weakest, wiser
good, well
dead, late
brighter, truer
easiest, greener
gravest, grimmer
fairer, tall
cheaper, dark
deep, easy
cold, wider
fat, weakest
greatest, newer
prouder, worse
deeper, prouder
fast, weaker
cool, fatter
most, new
far, faster
darkest, slow
clear, smarter
fat, stricter
heavier, old
hotter, quicker
cooler, lovelier
drier, early
bright, heavy
luckier, narrower
broad, kosher
least, thinner
darkest, ever
dark, quiet
hard, sure
lovelier, poorer
latter, rarer
another, tall
finest, firm
good, grave
bright, warm
dead, stupider
louder, widest
cool, fat
deep, wiser
happiest, honest
far, long
clear, dark
prettier, quicker
grimmer, noble
ever, poorer
fat, warmer
darkest, largest
ever, sure
happiest, widest
clearest, large
deader, large
cute, slower
broadest, rarest
weirder, wise
rarest, sounder
honest, prouder
grim, stupid
deep, farther
faster, lovely
quick, safe
fewer, rarest
honest, more
busy, proud
freer, safe
colder, strange
easier, luckier
deepest, lowest
grim, wider
faster, pretty
pure, wide
simple, taller
deeper, rarest
kosher, many
best, newer
farther, smarter
freer, prouder
lovelier, worse
free, narrow
rarer, true
long, poor
earliest, some
later, young
green, rich
hot, rare
dense, gravest
